StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q9,Q12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,One of these is also a yarn,One of these is also a dax,One of these is also a fep
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID9""}","{""ImportId"":""QID12""}"
2022-12-01 14:29:03,2022-12-01 14:29:14,IP Address,107.127.14.7,100,11,True,2022-12-01 14:29:15,R_1n0YgSKxj0ntg5e,,,,,37.6736,-122.0944,anonymous,EN,,,IM_enDeJ2onL1JrLP8
2022-12-01 14:28:34,2022-12-01 14:29:18,IP Address,71.231.245.95,100,43,True,2022-12-01 14:29:18,R_116JNUZRMHqo0G7,,,,,47.6459,-122.3995,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:29:13,2022-12-01 14:29:33,IP Address,75.181.186.63,100,20,True,2022-12-01 14:29:34,R_1Hdz2W69Od5wf5y,,,,,35.6206,-80.4029,anonymous,EN,,IM_enDeJ2onL1JrLP8,
2022-12-01 14:29:48,2022-12-01 14:30:00,IP Address,76.28.20.13,100,11,True,2022-12-01 14:30:00,R_2CxMosMeroOWTJ6,,,,,41.6026,-72.9765,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:29:26,2022-12-01 14:30:00,IP Address,107.127.32.59,100,34,True,2022-12-01 14:30:01,R_1N2qeb1oGfodNwN,,,,,33.7485,-84.3871,anonymous,EN,,,IM_enDeJ2onL1JrLP8
2022-12-01 14:29:43,2022-12-01 14:30:04,IP Address,71.211.17.214,100,21,True,2022-12-01 14:30:05,R_eDIQP0TkikTEvo5,,,,,38.41,-105.7698,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:30:28,2022-12-01 14:30:40,IP Address,216.207.240.34,100,11,True,2022-12-01 14:30:40,R_2V9ql3XOmGIyDky,,,,,36.3125,-82.377,anonymous,EN,,IM_5A9xQWROP0v4aPA,
2022-12-01 14:30:29,2022-12-01 14:30:41,IP Address,71.207.131.61,100,12,True,2022-12-01 14:30:42,R_2tF0pqJL6dCjGRG,,,,,37.5635,-77.4838,anonymous,EN,,,IM_enDeJ2onL1JrLP8
2022-12-01 14:30:48,2022-12-01 14:31:30,IP Address,73.217.0.180,100,41,True,2022-12-01 14:31:31,R_1pDuhiGQ38YDTA5,,,,,39.9038,-104.9419,anonymous,EN,,IM_eY8Vwfih2OynNCm,
2022-12-01 14:31:09,2022-12-01 14:31:46,IP Address,73.55.5.13,100,37,True,2022-12-01 14:31:47,R_3QD8LaKC4X2H4z7,,,,,27.24,-82.4755,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:31:53,2022-12-01 14:32:07,IP Address,68.40.23.131,100,14,True,2022-12-01 14:32:08,R_NWw4tyH9orz2dNL,,,,,42.2316,-83.2659,anonymous,EN,,,IM_enDeJ2onL1JrLP8
2022-12-01 14:32:05,2022-12-01 14:32:22,IP Address,68.199.10.210,100,17,True,2022-12-01 14:32:23,R_3M4BxhUn3M9PB0J,,,,,41.2045,-73.1988,anonymous,EN,,IM_enDeJ2onL1JrLP8,
2022-12-01 14:32:03,2022-12-01 14:32:38,IP Address,107.126.68.24,100,34,True,2022-12-01 14:32:39,R_3qmwbqpMWHCGhpB,,,,,30.3963,-95.194,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:32:31,2022-12-01 14:32:47,IP Address,162.227.80.140,100,16,True,2022-12-01 14:32:47,R_brwYIgvNx3wdN7j,,,,,32.8646,-96.7884,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:32:44,2022-12-01 14:33:05,IP Address,172.56.224.204,100,20,True,2022-12-01 14:33:05,R_2R3Pm5ACroXl7CQ,,,,,33.5017,-86.8803,anonymous,EN,,,IM_enDeJ2onL1JrLP8
2022-12-01 14:33:04,2022-12-01 14:33:13,IP Address,173.18.25.162,100,8,True,2022-12-01 14:33:13,R_RIahu7o4Fldapcl,,,,,37.7992,-89.0227,anonymous,EN,,IM_5A9xQWROP0v4aPA,
2022-12-01 14:33:24,2022-12-01 14:33:46,IP Address,24.107.17.86,100,22,True,2022-12-01 14:33:46,R_9ZyxFyiGo7LRxrb,,,,,38.6976,-90.3604,anonymous,EN,,IM_5A9xQWROP0v4aPA,
2022-12-01 14:33:38,2022-12-01 14:33:48,IP Address,24.210.21.119,100,10,True,2022-12-01 14:33:49,R_1iqWz82CcuXNCV2,,,,,39.3184,-82.1012,anonymous,EN,,,IM_enDeJ2onL1JrLP8
2022-12-01 14:33:38,2022-12-01 14:33:51,IP Address,108.41.163.27,100,12,True,2022-12-01 14:33:51,R_Diadg2VuEwsFLdD,,,,,40.847,-73.8616,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:33:48,2022-12-01 14:34:02,IP Address,107.216.193.51,100,14,True,2022-12-01 14:34:03,R_1ploeOCEFBu8NSI,,,,,30.0524,-95.3707,anonymous,EN,,IM_enDeJ2onL1JrLP8,
2022-12-01 14:33:34,2022-12-01 14:34:05,IP Address,174.16.193.145,100,30,True,2022-12-01 14:34:05,R_ZKWvaJqnRle33Hz,,,,,39.7435,-105.0619,anonymous,EN,,,IM_enDeJ2onL1JrLP8
2022-12-01 14:34:01,2022-12-01 14:34:28,IP Address,174.207.166.168,100,27,True,2022-12-01 14:34:29,R_2dtES0ZcLvma4N3,,,,,39.2413,-84.5455,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:34:05,2022-12-01 14:34:34,IP Address,104.162.33.32,100,29,True,2022-12-01 14:34:35,R_2WGQLVuRQ76xLAX,,,,,41.9956,-73.9942,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:34:26,2022-12-01 14:34:46,IP Address,71.171.92.47,100,20,True,2022-12-01 14:34:46,R_Ov9aMyaAkfNWewF,,,,,39.1821,-77.5359,anonymous,EN,,,IM_enDeJ2onL1JrLP8
2022-12-01 14:34:39,2022-12-01 14:34:57,IP Address,136.35.212.171,100,18,True,2022-12-01 14:34:58,R_1iq7warlNf31lkg,,,,,39.2733,-94.5694,anonymous,EN,,IM_5A9xQWROP0v4aPA,
2022-12-01 14:34:40,2022-12-01 14:34:58,IP Address,166.196.82.112,100,17,True,2022-12-01 14:34:58,R_cuzxa38D1F1SrBv,,,,,33.5203,-86.8092,anonymous,EN,,,IM_enDeJ2onL1JrLP8
2022-12-01 14:34:46,2022-12-01 14:34:58,IP Address,173.93.27.95,100,11,True,2022-12-01 14:34:58,R_3rMRNlLdnvRhrG0,,,,,34.1632,-77.8723,anonymous,EN,,IM_enDeJ2onL1JrLP8,
2022-12-01 14:34:47,2022-12-01 14:35:01,IP Address,98.200.173.11,100,14,True,2022-12-01 14:35:02,R_2tgOF8JmQiIVYfP,,,,,29.7228,-95.4251,anonymous,EN,,,IM_enDeJ2onL1JrLP8
2022-12-01 14:34:54,2022-12-01 14:35:19,IP Address,216.14.3.194,100,25,True,2022-12-01 14:35:20,R_32JyQ4u0eG4f3hP,,,,,33.9073,-118.0087,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:35:07,2022-12-01 14:35:21,IP Address,69.116.113.151,100,14,True,2022-12-01 14:35:22,R_33pXTO0dNb3A7gG,,,,,40.5175,-74.3991,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:35:18,2022-12-01 14:35:32,IP Address,73.109.254.203,100,14,True,2022-12-01 14:35:33,R_1mE04BPNqzY4cLM,,,,,47.6859,-122.2994,anonymous,EN,,IM_5A9xQWROP0v4aPA,
2022-12-01 14:35:27,2022-12-01 14:35:41,IP Address,174.193.196.112,100,14,True,2022-12-01 14:35:41,R_sFLSn7YS9pspY65,,,,,34.0447,-118.2946,anonymous,EN,,,IM_enDeJ2onL1JrLP8
2022-12-01 14:35:20,2022-12-01 14:35:55,IP Address,69.146.140.123,100,34,True,2022-12-01 14:35:55,R_3iLucKTQlcK3RTP,,,,,46.8522,-114.0214,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:35:41,2022-12-01 14:35:55,IP Address,99.63.5.3,100,14,True,2022-12-01 14:35:56,R_1dmLvGub7Wxu8N5,,,,,38.6664,-90.322,anonymous,EN,,IM_5A9xQWROP0v4aPA,
2022-12-01 14:35:46,2022-12-01 14:35:59,IP Address,107.222.37.200,100,13,True,2022-12-01 14:35:59,R_25WxBzjm9pMo1tQ,,,,,32.107,-81.2499,anonymous,EN,,,IM_enDeJ2onL1JrLP8
2022-12-01 14:35:59,2022-12-01 14:36:11,IP Address,174.206.235.87,100,11,True,2022-12-01 14:36:11,R_PvabrUERS4GRKdH,,,,,40.7869,-74.2535,anonymous,EN,IM_5A9xQWROP0v4aPA,,
2022-12-01 14:35:55,2022-12-01 14:36:10,IP Address,108.31.61.197,100,14,True,2022-12-01 14:36:11,R_3p2KWcPtu1zjGDl,,,,,38.9637,-77.6099,anonymous,EN,IM_eY8Vwfih2OynNCm,,
2022-12-01 14:35:52,2022-12-01 14:36:15,IP Address,98.13.227.176,100,23,True,2022-12-01 14:36:16,R_A1E7Af1x3G3lYJz,,,,,40.6857,-73.8532,anonymous,EN,,IM_5A9xQWROP0v4aPA,
2022-12-01 14:35:44,2022-12-01 14:36:32,IP Address,149.75.65.4,100,47,True,2022-12-01 14:36:32,R_2di1emdnDBhZBxY,,,,,37.9606,-87.5333,anonymous,EN,,IM_5A9xQWROP0v4aPA,
2022-12-01 14:36:19,2022-12-01 14:36:33,IP Address,174.64.53.166,100,14,True,2022-12-01 14:36:33,R_3KNrhoYF4GCaMYM,,,,,38.271,-77.5495,anonymous,EN,,,IM_enDeJ2onL1JrLP8
